NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
Sigi,marawola,19.067,30.599,33.3,219.489,Tree Cover,0.666,5.95,38.005,2021,5,1,-0.9733,119.8554
jakarta barat,palmerah,16.784,26.28,39.55,10.559,Built-up,0.197,0.122,38.514,2024,11,0,-6.1917,106.7956
bekasi,muaragembong,83.439,153.041,26.87,1.597,Permanent water bodies,0.095,0.046,39.244,2020,2,1,-6.0033,107.0499
bogor,parungpanjang,60.568,97.696,28.39,65.388,Tree cover,0.52,0.569,41.546,2024,1,1,-6.3768,106.5551
Donggala,sirenja,19.226,33.701,33.31,356.425,Unknown,0.587,4.87,36.957,2023,2,1,-0.2501,119.8636
jakarta selatan,setiabudi,79.232,129.25,36.65,17.99,Built-up,0.177,0.133,38.721,2021,2,1,-6.2196,106.83
tangerang,kronjo,25.792,40.271,30.68,4.048,Cropland,0.441,0.069,36.589,2021,5,0,-6.0703,106.4282
jakarta selatan,mampangprapatan,27.76,47.949,39.25,21.604,Built-up,0.338,0.146,39.072,2022,4,0,-6.2523,106.821
Kota Cirebon,kesambi,66.483,95.616,33.73,14.638,Unknown,0.372,0.34,39.636,2020,2,1,-6.7332,108.5422
Konawe Utara,wiwirano,64.678,95.631,24.64,450.105,Tree Cover,0.719,5.538,35.774,2021,7,1,-3.1863,122.0669
Cirebon,klangenan,68.154,83.255,30.73,11.963,Unknown,0.441,0.135,39.343,2021,1,1,-6.6678,108.4516
Probolinggo,dringu,37.137,85.293,31.5,20.051,Unknown,0.572,0.305,34.36,2024,3,1,-7.7879,113.2552
Blitar,binangun,65.375,111.612,28.07,238.047,Unknown,0.324,1.537,27.988,2022,10,1,-8.2083,112.3377
Karanganyar,kebakkramat,50.049,99.032,30.0,105.452,Unknown,0.647,0.586,41.168,2024,3,1,-7.5203,110.9237
jakarta selatan,pancoran,21.636,66.994,36.01,25.372,Built-up,0.333,0.19,38.794,2023,5,0,-6.2553,106.8436
Kudus,jati,70.311,142.707,29.89,11.954,Built-Up,0.412,0.182,38.705,2020,2,1,-6.8287,110.8389
Ketapang,tumbangtiti,76.419,138.789,28.5,121.57,Tree Cover,0.806,2.453,29.304,2023,11,1,-1.8209,110.6715
depok,sawangan,46.894,71.26,37.2,91.287,Tree cover,0.548,0.296,41.604,2020,3,0,-6.4067,106.7641
Kendal,ngampel,90.668,170.683,30.7475,32.408,Unknown,0.705,0.632,42.446,2021,1,1,-6.9885,110.1846
kota tangerang,periuk,25.514,63.859,33.4,12.531,Built-up,0.323,0.129,36.032,2024,6,0,-6.1675,106.5943
Cilacap,cilacaputara,58.609,83.581,28.69,8.303,Unknown,0.52,0.202,32.497,2023,4,1,-7.6716,109.0348
Serang,cikeusal,42.943,107.534,31.01,31.242,Tree Cover,0.648,0.298,35.205,2021,9,1,-6.214,106.2536
kota bekasi,mustikajaya,36.323,50.709,36.58,32.768,Built-up,0.48,0.179,38.121,2022,5,0,-6.3076,107.0166
tangerang,solear,37.882,79.084,32.36,39.539,Tree cover,0.544,0.297,38.492,2022,12,0,-6.3069,106.4215
Aceh Tamiang,bandarpusaka,21.813,46.55,28.34,139.137,Tree Cover,0.83,3.232,36.393,2022,1,1,4.2735,97.8512
kota tangerang,jatiuwung,26.22,66.255,37.96,20.101,Built-up,0.314,0.172,37.33,2021,4,0,-6.198,106.5753
